team,Max
Palau,2016.0
Lithuania,2016.0
Togo,2016.0
Namibia,2016.0
Netherlands Antilles,2008.0
Iceland,2016.0
American Samoa,2016.0
Samoa,2016.0
Rwanda,2016.0
Dominica,2016.0
Great Britain-2,2016.0
Haiti,2016.0
Stella-2,1920.0
Malta,2016.0
United States-1,2016.0
United States-2,2016.0
Argentina-2,2016.0
"Large boat, Central Naval Prep School ""Poros""-1",1906.0
Cyprus,2016.0
Guinea,2016.0
Xolotl,1964.0
Belize,2016.0
Matrero II,1936.0
Blue Red,1924.0
Gteborgs Roddklubb-1,1912.0
Indonesia-1,2016.0
Germany-1,2016.0
South Yemen,1988.0
South Korea,2016.0
Lucky Girl-1,1912.0
Mutafo,1964.0
Sweden-2,2008.0
Sweden-1,2008.0
Thailand,2016.0
Italy-2,2016.0
Yeoman VII,1960.0
Yeoman XII,1964.0
Bermuda,2016.0
Australasia,1912.0
Union des Socits Franais de Sports Athletiques,1900.0
Serbia and Montenegro,2006.0
Sierra Leone,2016.0
Bissbi,1932.0
Papua New Guinea,2016.0
Greece-3,1906.0
Yemen,2016.0
Individual Olympic Athletes,2016.0
Oman,2016.0
Fiji,2016.0
Vanuatu,2016.0
France-3,1998.0
Martha-27,1900.0
Martha-1,1900.0
Moldova,2016.0
Canada-2,2016.0
Canada-1,2016.0
Yugoslavia,1992.0
Bahamas,2016.0
Guatemala,2016.0
Burevestnik,1952.0
Druzhba,1964.0
Soviet Union-2,1988.0
Soviet Union-1,1988.0
Olen,1964.0
Serbia,2016.0
British Virgin Islands,2016.0
Mozambique,2016.0
Heatherbell,1912.0
Central African Republic,2016.0
Madagascar,2016.0
Malaya,1960.0
Socit Nautique de Bayonne,1912.0
Bosnia and Herzegovina,2016.0
Guam,2016.0
Brazil-1,2016.0
Cayman Islands,2016.0
Cupidon Viking,1928.0
Damoiselle,1952.0
Slovakia,2016.0
USFSA,1900.0
The Cloud,1948.0
Galerna,1948.0
Heira II,1920.0
Nykjbings paa Falster,1912.0
Barbados,2016.0
Ireland-2,1998.0
Spain-2,2016.0
Guinea Bissau,2016.0
Mohawk Indians-2,1904.0
Tornado,1960.0
Elsie,1920.0
Roma,1906.0
Tajamar,1960.0
Spain-1,2016.0
"Lemzos Thorichton ""Spetsai""-4",1906.0
Norway-2,2008.0
Norway-1,2008.0
Italy-1,2016.0
Puerto Rico-2,1992.0
Mound City Rowing Club-2,1904.0
Timor Leste,2016.0
Amolgavar,1924.0
Congo (Kinshasa),2016.0
Gabon,2016.0
Ali-Baba II,1948.0
May Be VII,1952.0
East Germany-1,1988.0
San Marino,2016.0
Favorite Hammonia-3,1900.0
Laos,2016.0
Botswana,2016.0
Refugee Olympic Athletes,2016.0
Frankfurt Club,1900.0
Lett,1960.0
GyoshuII,1964.0
North Korea,2016.0
South Korea-2,2016.0
Brazil-2,2016.0
Solomon Islands,2016.0
Dolfijn,1948.0
Senegal,2016.0
Cape Verde,2016.0
Tip,1956.0
Yugoslavia-1,1992.0
rn-2,1912.0
Crete,1906.0
Breslau,1936.0
Germany-3,2014.0
Romania-2,2016.0
Club Nautique de Dieppe-5,1900.0
Norna,1928.0
Fram,1908.0
Magda IX,1912.0
Soviet Union-3,1988.0
Equatorial Guinea,2016.0
Bolivia,2016.0
Saar,1952.0
Andorra,2016.0
Japan-2,2012.0
Austria-1,2016.0
Austria-2,2016.0
Antigua and Barbuda,2016.0
EA II,1936.0
Canada-3,2014.0
Czechoslovakia-3,1992.0
Linglom,1964.0
Denmark-2,2012.0
Mosk II,1920.0
Latvia-2,2014.0
Elisabeth X,1952.0
Sweden-3,1912.0
Ludwigshafener Ruderverein,1912.0
Australia-2,2016.0
Latvia-1,2014.0
Guyoni,1908.0
Greece-1,2008.0
Greece-2,2008.0
West Germany-2,1988.0
"La Salle Turnverein, Chicago",1904.0
Gallant,1932.0
Zimbabwe,2016.0
Grenada,2016.0
Hera-1,1908.0
Swedish Star,1932.0
Bulgaria-1,1992.0
Nautikos Omilos-3,1906.0
Wolseley-Siddeley-1,1908.0
Hong Kong,2016.0
Ciocca II,1948.0
Mirtala,1952.0
Saint Lucia,2016.0
Carabinier-5,1900.0
Pettit-Poucet-6,1900.0
Carabinier-15,1900.0
Federated States of Micronesia,2016.0
Myanmar,2016.0
Hirondelle,1952.0
Kerstin-1,1912.0
Evita VI,1960.0
Ukraine-2,2016.0
Russia-3,2014.0
Malawi,2016.0
Belarus-1,2008.0
United States-3,2014.0
Bronia,1960.0
Zambia,2016.0
Denmark-1,2012.0
Bluebottle,1956.0
West Germany-1,1988.0
Rhodesia,1960.0
East Germany-2,1988.0
Snap,1948.0
Chinese Taipei-1,2000.0
Sao Tome and Principe,2016.0
Toronto Argonauts,1912.0
England-1,1912.0
Hungaria Evezos Egylet,1912.0
Poland-1,2016.0
Macedonia,2016.0
Bohemia,1912.0
Argonaut Rowing Club,1908.0
"Life boat naval ship ""Spetsai""-1",1906.0
Australia-1,2016.0
Tonga,2016.0
Nigeria-1,2004.0
Fortuna,1952.0
Starlight III,1956.0
Liechtenstein,2016.0
Pan,1952.0
Montenegro,2016.0
Leander Club-2,1908.0
"Lemzos Thorichton ""Psara""-3",1906.0
London City Police-1,1908.0
Great Britain-3,1984.0
Sabre,1952.0
Firebird II,1964.0
Berliner Ruderverein von 1876-2,1912.0
Christian Brothers' College-1,1904.0
Czechoslovakia-1,1992.0
Czechoslovakia-2,1992.0
"Passaic Turnverein, Passaic",1904.0
Primorka,1952.0
Gambia,2016.0
Racing Club de France,1900.0
Grifo III,1960.0
Grifo IV,1964.0
Bingo,1964.0
Damoiselle IV,1960.0
Crabe II-12,1900.0
Nina Claire-30,1900.0
Crabe II-1,1900.0
Crabe II-4,1900.0
Nina Claire-2,1900.0
Qu'Importe,1936.0
Konstanz,1936.0
Suzy-2,1920.0
Mouchette-2,1908.0
Dansk Idrts Forbund,1906.0
Marmara,1936.0
Moseley Wanderers,1900.0
Chicago Athletic Association-2,1904.0
Devon and Somerset Wanderers,1900.0
Unified Team-2,1992.0
Mistral Hojris,2008.0
Cook Islands,2016.0
Mauritius-2,1996.0
Albania,2016.0
Romania-1,2016.0
Pampero,1956.0
Israel-2,2006.0
Symphony,1948.0
Sjhxa,1952.0
Faneca,1964.0
Ciocca III,1960.0
"Marinai della nave da guerra ""Varese""",1906.0
Lalage,1948.0
Gallia II,1912.0
Dinah V,1960.0
Czech Republic-2,2016.0
Nora,1948.0
Monica,1964.0
Kullan,1920.0
Shoveller,1952.0
Amateur Athletic Association,1900.0
Circus,1960.0
Aletta,1960.0
Widgeon,1964.0
Inca,1956.0
Czech Republic-1,2016.0
Relampago,2008.0
Foxhunters Hurlingham,1900.0
Thames Rowing Club,1912.0
"Davenport Turngemeinde, Davenport",1904.0
"Norwegier Turnverein, Brooklyn",1904.0
Erna Signe,1912.0
Sirene,1960.0
Socit Nautique de Bayonne-2,1906.0
Socit Nautique de Bayonne-1,1906.0
Anitra,1936.0
Snude,1952.0
White Lady,1964.0
Web II,1960.0
Web III,1964.0
Italy-3,1976.0
Pistoja/Firenze,1906.0
West Indies Federation,1960.0
Posillipo III,1960.0
Tritons Lillois-2,1900.0
"Turnverein Vorwrts, Cleveland",1904.0
Club Nautique de Franais-1,1900.0
Monaco-1,1992.0
Boreas-2,1920.0
Peri,1960.0
"New York Turnverein, New York",1904.0
Tichiboo,1956.0
Siames-Cat,1960.0
Swaziland,2016.0
India-1,2012.0
Italia,1936.0
Ausonia,1948.0
Angelita,1936.0
Burkina Faso,2016.0
Nortazo,1948.0
Tom Kyle,1952.0
Tilly,1956.0
Esterel-1,1900.0
North Borneo,1956.0
Wiking,1936.0
Buraddoo,1960.0
Heroine,1908.0
Burundi,2016.0
Chok,1960.0
Atlanta,1920.0
Germania II,1936.0
Wannsee,1936.0
Polyteknisk Roklub-1,1912.0
Aruba,2016.0
Buscape II,1948.0
Nina,1912.0
Norway-3,1912.0
Kristiania Roklub-1,1912.0
Kristiania Roklub,1912.0
Ormsund Roklub-2,1912.0
Chuckles,1956.0
South Africa-2,1920.0
Chinese Taipei,2016.0
Winnipeg Shamrocks-1,1904.0
Olle,1900.0
United States-10,1904.0
Camelia,1928.0
Aschenbrodel,1900.0
Whitini Star,2008.0
Puerto Rico-1,1992.0
Bera,1924.0
Netherlands-2,2016.0
Slaghoken,1948.0
Slaghoken II,1956.0
Great Britain/Germany,1896.0
Nikh,1956.0
Swift,1948.0
Andorinha,1948.0
Unified Team-1,1992.0
Cupidon III,1928.0
Athens-2,1906.0
Bulgaria-2,1992.0
Marga-2,1912.0
Serendipity,1964.0
L'Aile VI,1928.0
Cercle de l'Aviron Roubaix-4,1900.0
Caprice,1932.0
"New College, Oxford-2",1912.0
Compigne Polo Club,1900.0
Vision,1956.0
Cambridge University Boat Club-2,1908.0
Trickson VI,1952.0
St. Rose-2,1904.0
Calcinhas,1960.0
Gteborgs Roddfrening-2,1912.0
Minerva Amsterdam,1900.0
Chamukina,1960.0
Nausikaa 4,1964.0
New York Athletic Club-1,1904.0
Arcturus,1952.0
Belgium-1,1952.0
St. Louis Southwest Turnverein #1-2,1904.0
Nauru,2016.0
Jo,1920.0
Lucky Star,2008.0
Namoussa,1924.0
Briar,2008.0
Panhellenios Gymnastikos Syllogos-1,1906.0
Netherlands-1,2016.0
Gabbiano,1960.0
Gran Gesto,2008.0
Ceres II,1948.0
Covunco III,1956.0
Chicago Archers,1904.0
Royal Club Nautique de Gand,1912.0
Roddklubben af 1912-1,1912.0
Roddklubben af 1912-2,1912.0
Bucintoro Venezia-1,1906.0
Bucintoro Venezia,1906.0
Edelweiss II-1,1920.0
Bamba,1928.0
Rush IV,1956.0
Boston Archers,1904.0
Ali-Baba IV,1952.0
Ali-Baba VI,1960.0
Ali-Baba IX,1964.0
Upton Park FC,1900.0
"BLO Polo Club, Rugby",1900.0
Hurlingham-2,1908.0
Leander Club-1,1912.0
Indonesia-2,2016.0
Western Rowing Club-3,1904.0
Pigoule,1964.0
South Vietnam,1972.0
Snowten III,1960.0
Hungaria,1928.0
Libellule de Paris,1900.0
Scram,1960.0
United States Virgin Islands-2,1998.0
United States Virgin Islands-1,1998.0
Amstel Amsterdam,1908.0
Scotland-3,1908.0
Peri II,1964.0
Liverpool Police Team-2,1908.0
Vinha,1952.0
Fantasio III,1960.0
Pousse-Moi Pas VII,1964.0
Norwegian Rowing Association,1908.0
LaBandera,1948.0
Gilliatt V,1956.0
United States Golf Association-3,1904.0
Trans-Mississippi Golf Association-2,1904.0
China-2,2016.0
China-1,2016.0
Sarcelle-35,1900.0
Sarcelle-3,1900.0
Tango,1964.0
Argentina-1,2016.0
Brynhild-2,1900.0
Espuma del Mar,1964.0
Twins II,1928.0
Pupilles de Neptune de Lille #2-1,1900.0
Beaver,1960.0
Monaco-2,1992.0
Baccara,1960.0
Cobweb-1,1908.0
Ral-Club Barcelona,1900.0
Vietnam,2016.0
Elvis Va,2008.0
Romolo,1956.0
Aldebaran II,1960.0
Aldebaran,1964.0
Argus,1948.0
Galatea II,1952.0
Twins VIII,1956.0
Antwerpia V,1924.0
Lotta IV,1952.0
Saga-2,1908.0
Mari,1960.0
Paula,1956.0
Oranje,1920.0
Willem-Six,1924.0
DeRuyter,1952.0
Acturus,1948.0
Societ Nautique de la Marne,1900.0
Mexico-2,1992.0
Teresita,1952.0
Barion/Bari-2,1906.0
Eissero VI,1952.0
New York Athletic Club-4,1904.0
K Division Metropolitan Police Team-3,1908.0
Israel-1,2006.0
Hong Kong-1,2004.0
Malaysia-1,2008.0
Cambodia,2016.0
Complex II,1952.0
Allegro,1948.0
Gam II,1956.0
Ylliam VIII,1952.0
Quand-Mme-33,1900.0
Quand-Mme-2,1900.0
United States-9,1904.0
Berliner Ruderclub Sport-Borussia-1,1912.0
Smyrna,1906.0
Chinese Taipei-2,2000.0
Calimucho,2008.0
Bhutan,2016.0
North Korea-1,1996.0
Malaysia-2,2008.0
Kingfisher,1956.0
Yangon,1960.0
Gustel V,1936.0
Sonja II,1912.0
Jill,1952.0
Kiel,1936.0
KNS,1936.0
Galt Football Club,1904.0
Tim-Tam III,1952.0
Uragan,1952.0
Kon-Tiki,1956.0
Babe,1928.0
Poland-2,2016.0
Antares,1948.0
Venilia,1960.0
Hatuey,1924.0
Mauritius-1,1996.0
Cincinnati Archers,1904.0
Morena,1948.0
Libellule de Paris-3,1900.0
Societ Nautique de la Marne-3,1900.0
"Osborne Swimming Club, Manchester",1900.0
Brussels Swimming and Water Polo Club,1900.0
Ancora,1920.0
Saskia,1936.0
Wales-4,1908.0
SagaII,1960.0
Gem,1964.0
June Climene,1960.0
Cambria,1964.0
Oleander XII,1964.0
Phoenix,1964.0
Ylliam VII,1948.0
Ballerina IV,1960.0
Chicago Athletic Association,1904.0
Calypse II,1960.0
Scotland,1912.0
Scotland-2,1912.0
Ciocca,1952.0
Esperia,1936.0
Tournade-40,1900.0
Tornade-16,1900.0
Galejan,1960.0
Great Britain-4,1920.0
Cuba-1,2008.0
Marshall Islands,2016.0
United States-6,1904.0
Santa Maria,1932.0
Dormy-1,1908.0
Umberta V,1964.0
Rozenn-3,1900.0
Jest,1956.0
Magdalen College Boat Club-1,1908.0
Western Golf Association-1,1904.0
Scotia,1900.0
Red Dragon,1956.0
"R.-V. Germania, Leitmeritz",1912.0
Hungary-1,2004.0
Akatonbo,1964.0
Terrible,1960.0
Elisabeth V,1924.0
Studenternes Roklub-2,1912.0
Rififi,1960.0
New York Athletic Club #1-1,1904.0
Partenope,1960.0
Bermudes,1960.0
England,1912.0
Cornwall,1908.0
Kiribati,2016.0
United States-7,1904.0
Diablo,1964.0
Plume-patte-32,1900.0
Plume-Patte-5,1900.0
Pierre et Jean-3,1900.0
Pierre et Jean-4,1900.0
Espadarte,1952.0
Fruits,1928.0
Belgium-2,1952.0
Sidi Fekkar-36,1900.0
Sidi-Fekkar-14,1900.0
Souvenance,1900.0
Meteor,1960.0
Kurush IV,1956.0
Vesania,1960.0
Kurush II,1948.0
Canopus,1960.0
Crabe I-11,1900.0
Crabe I-3,1900.0
Crabe I-2,1900.0
Gwendoline-22,1900.0
Gwendoline-2,1900.0
United States/France,1900.0
Vicking,1936.0
Daisy,1964.0
Virginie,1952.0
Acipactli,1964.0
Belgium-4,1920.0
Pegaso,1936.0
Girl Pat,1952.0
Fada,1936.0
Bu III,1952.0
Lerina,1900.0
"Bagatelle Polo Club, Paris",1900.0
Bem II,1952.0
St. Margrite,1948.0
Hollandia,1928.0
Aphrodite,1964.0
Bonzo,1924.0
Socit Nautique de la Basse Seine-1,1906.0
Socit Nautique de la Basse Seine-2,1906.0
Univ. of Brussels,1900.0
"Concordia Turnverein, St Louis",1904.0
Rowing Club Castillon-3,1900.0
Frip IV,1960.0
Mad Dog,1960.0
Hb-24,1900.0
Hb-20,1900.0
"South St Louis Turnverein, St Louis",1904.0
Century Boat Club-1,1904.0
Unique,1952.0
Pan-Hellenic Athletic Club,1904.0
"Phalainis ton Thorichtou ""Hydra""-2",1906.0
Viking,1956.0
Silja,1936.0
Bermudian,1960.0
Dresden,1936.0
United States/Great Britain,1900.0
Mignon-29,1900.0
Mignon-3,1900.0
Favorite-17,1900.0
Favorite-1,1900.0
St. Louis Amateur Athletic Association,1904.0
Naiad,1956.0
Pakaria,1960.0
Ireland-3,1912.0
Serbia-2,2012.0
United States-14,1904.0
Oxalis,2008.0
Gitana-21,1900.0
Gitana-2,1900.0
Joy,1948.0
Thalatta,1952.0
Trintel II,1960.0
"Central Turnverein, Chicago",1904.0
Galopin-20,1900.0
Galopin-9,1900.0
France-4,1900.0
Berliner Ruderclub,1908.0
Rhythm,1948.0
"Turnverein Vorwrts, Chicago",1904.0
Guanahani,1964.0
Unknown,1912.0
Spirit III,1956.0
Pannonia RC/National RC,1908.0
Bella,1960.0
May-Be 1960,1960.0
May Be,1936.0
Inga-Lill XXXXIII,1960.0
Mexico-1,1992.0
Nirwana,1952.0
Omilos Ereton Peiraios-2,1906.0
Llanoria,1952.0
Marmi II-1,1920.0
Kitty-1,1912.0
Vaxholm Roddklubb,1912.0
Tuvalu,2016.0
A North American Team,1900.0
Nirefs,1960.0
Proteus II,1964.0
Finn II,1912.0
Impala,1956.0
Missouri Athletic Club-3,1904.0
Pam,1956.0
Oleander II,1960.0
Apache,1948.0
Roklubb Kbnhavn-2,1912.0
Tu-Fri,1952.0
Tutti V,1928.0
Cha-Cha III,1960.0
Augsburg,1936.0
Leander Club #2-2,1908.0
Ariel,1948.0
Encore,1952.0
Feo,1928.0
Seawanhaka Boat Club-1,1904.0
Gem II,1948.0
Gem III,1952.0
Gem IV,1956.0
Gem VII,1960.0
Pupilles de Neptune de Lille #1-3,1900.0
Chaje II,1964.0
Ludwigshafener Ruder Verein-1,1900.0
Leander Club #1-1,1908.0
Dylan-2,1908.0
Moorina,1948.0
30. Februar,1952.0
Cercle Nautique de Reims-4,1900.0
Cuba-2,2008.0
Struten,1960.0
Gyrinus-1,1908.0
Ylliam II,1936.0
East Germany-3,1984.0
Paka V,1952.0
Brigantia,1964.0
Sydney Rowing Club,1912.0
Espardate,1948.0
Australia/Great Britain,1896.0
Kannibaltje,1956.0
Milwaukee Athletic Club-1,1904.0
Xantippa,1956.0
Skum,1960.0
Miss Denmark 1964,1964.0
Kemphaan,1928.0
Helsingfors R. K.,1912.0
Newfoundland,1904.0
Emily,1924.0
Fram III,1964.0
Mizar,1960.0
Ubu,1928.0
St. Louis Southwest Turnverein #2-3,1904.0
"Socialer Turnverein, Detroit",1904.0
Bohemia-1,1912.0
Essen,1936.0
Miss Nippon V,1964.0
Argeste,1964.0
Gullvinge,1952.0
United States-4,1904.0
South Korea-1,2016.0
Bajazzo,1960.0
Cinara-13,1900.0
Ilderim,1936.0
Tantalus,1964.0
Peiraikos Syndesmos-2,1906.0
Baby-9,1900.0
Baby-1,1900.0
Femur-18,1900.0
Femur-1,1900.0
Kosovo,2016.0
Colette-10,1900.0
Colette-12,1900.0
Germany/United States,1904.0
"Germania Ruder Club, Hamburg",1900.0
Freddy,1936.0
Rika II,1956.0
Korshun,1952.0
Hungary-2,2004.0
Patricia,1960.0
Tlaloc,1964.0
Springbok,1932.0
Aretusa,1956.0
Quicksilver-2,1908.0
Viktoriya,1960.0
"Germania Ruder Club, Hamburg-2",1900.0
Omilos Ereton Smyrnis,1906.0
Belarus-2,2008.0
Alcaid,1952.0
Finland-1,1924.0
Finland-2,1924.0
Alain IV,1964.0
Jupiter,1932.0
Three Leaves,1960.0
"Philadelphia Turngemeinde, Philadelphia",1904.0
K.S.S.S. 1912-2,1912.0
Unified Team-3,1992.0
Paka,1936.0
Sheerio,1936.0
Pan II,1956.0
Pasodoble,1960.0
Freja,1908.0
India-2,2012.0
Sass-2,1912.0
Roy,1964.0
Ukraine-1,2016.0
Deutscher Schwimm Verband Berlin,1900.0
Jet,1952.0
Belgium-3,1920.0
Shrew II,1960.0
Sylvia,1928.0
Salamander,1960.0
Denmark-3,1912.0
Ingegerd,1928.0
Slovakia-2,2014.0
Johan,1948.0
Jamaica-2,1992.0
Andromeda,1964.0
Hornet,1952.0
South Sudan,2016.0
Sweden-4,1912.0
Chance,1948.0
Brat,1920.0
Yeoman V,1956.0
Knigsberg,1936.0
Don Schufro,2008.0
Vinga-1,1908.0
Aloha II,1948.0
Raili,1948.0
Syndi,1964.0
Vento Sul,1964.0
Sans Atout-1,1912.0
Miss Nippon IV,1964.0
New Zealand-1,1988.0
Tramontane,1932.0
Sandra,1924.0
"Milwaukee Turnverein, Milwaukee",1904.0
Nurdug II,1912.0
Eleda,1920.0
Lbeck,1936.0
Yeoman,1952.0
Boer Team,1904.0
Beatrijs III-1,1920.0
Lancet,2008.0
West Germany-3,1972.0
Lesotho,2016.0
Ravenswood Boat Club-2,1904.0
Whisper,2008.0
Irene,1920.0
Balaton,1960.0
Kuling,1964.0
Sif,1920.0
Djinn,1952.0
Mascotte,1900.0
Bona Fide,1900.0
Laurea-1,1900.0
Skidoo,1952.0
Tomahawk II,1956.0
Whirlaway,1952.0
Sorais-2,1908.0
Minotaur,1960.0
United States-5,1904.0
Surprise,1960.0
Zut,1908.0
Tan-Fe-Pah,1920.0
Ciss,1924.0
Australia-3,2000.0
Bohemia-3,1912.0
Boreas,1960.0
MitaII,1964.0
Escapade,1952.0
Slovakia-1,2014.0
Ralia,1952.0
Clearwater,2008.0
Angerburg,1936.0
Singapore-2,2004.0
United States-8,1904.0
Barco Deloro,1964.0
Dick-8,1900.0
Yugoslavia-2,1992.0
Kalayaan,1964.0
Bohemia-2,1912.0
Olimpia,1960.0
Macky VI,1960.0
Nrnberg,1936.0
Nephos I,1948.0
Tengiri,1960.0
Hayama,1964.0
Rush VII,1964.0
Rush V,1956.0
Ethnikos Gymnastikos Syllogos,1896.0
John B,1964.0
Bim,1960.0
Bonaparte,2008.0
North Korea-2,1996.0
Mythilus,2008.0
Rambo,2008.0
Floresco,2008.0
Hong Kong-2,2004.0
Luxembourg-2,1936.0
Lucky,1964.0
Spirit VI,1960.0
Lully II,1936.0
Sildra-1,1920.0
Noreg,1928.0
Subbnboana,1964.0
"Phalainis ton Thorichtou ""Psara""-3",1906.0
Slovenia-1,2004.0
Rostock,1936.0
Norman-1,1912.0
Olympion,1960.0
Sunshine,1936.0
Heidelberg,1936.0
Amulet-7,1900.0
Amulet-3,1900.0
Omas Helliniki P. S.,1906.0
Crocodile-13,1900.0
Crocodile-11,1900.0
Leipzig,1936.0
Red Indian,1948.0
Alcyon-6,1900.0
Alcyon-7,1900.0
Suzon IV-39,1900.0
Suzon IV-5,1900.0
Mascaret-28,1900.0
Mascaret-4,1900.0
Poland-3,1972.0
Sibindi-2,1908.0
Pupilles de Neptune de Lille-1,1900.0
Combine,1960.0
Stade Franais AC-2,1900.0
Kathleen,1956.0
Club Nautique de Lyon-2,1900.0
Holland,1932.0
Starita,1948.0
United States-12,1904.0
Argo II,1960.0
State VI,1964.0
Frimousse,1900.0
Denmark-4,1912.0
Portugal-2,1988.0
France/Great Britain,1900.0
Gyp-23,1900.0
Gyp-6,1900.0
Zefyros,1960.0
Pirouette-31,1900.0
Pirouette-5,1900.0
Societ Nautique de la Marne-1,1900.0
Mebi,1924.0
Slovenia-2,2004.0
Riccar,1964.0
Japan-3,1992.0
Lynn,1936.0
Neptun II,1956.0
Potomac Archers,1904.0
Ireland-1,1998.0
Brentina,2008.0
Nan-2,1900.0
Hannover,1936.0
Scamasaxe-34,1900.0
Scamasaxe-2,1900.0
Scamasaxe-3,1900.0
Three Star Too,1936.0
Bellatrix IX,1960.0
Bellatrix XIII,1964.0
Jeanette-25,1900.0
Jeannette-18,1900.0
Turquoise-1,1900.0
Turquoise-3,1900.0
Roehampton-1,1908.0
Glisten,1964.0
Nadine,2008.0
Grifone,1964.0
Twinkle,1960.0
Myojo,1936.0
Ducky-16,1900.0
Ducky-4,1900.0
Rose Pompon,1920.0
Souriceau-38,1900.0
Souriceau-4,1900.0
United States-11,1904.0
Lady C,1964.0
Frieda,1928.0
Marsouin-26,1900.0
Marsouin-8,1900.0
Persey,1960.0
Hi-Hi,1928.0
Atalanta Boat Club-1,1904.0
Atalanta Boat Club-2,1904.0
Wendehals,1956.0
New York Athletic Club,1904.0
Titia,1952.0
Pimm,1960.0
Gustel X,1952.0
Gustl XI,1956.0
Thailand-1,2004.0
Pop Art,2008.0
Barrenjoey,1964.0
South Africa-1,1920.0
Voloira II,1960.0
Uzbekistan-2,1994.0
Bremen,1936.0
Quando Quando,2008.0
Donar III,1948.0
Hojwa,1952.0
Tineke,1956.0
Danuta,1936.0
Maryke,1964.0
Falcon VI,1960.0
Thailand-2,2004.0
Manana,1956.0
Pandora,1964.0
Rampage,1964.0
Diabolo St Maurice,2008.0
Ravel,2008.0
Humbug V,1964.0
Astrid III,1960.0
Kln,1936.0
Demi-Mondaine-15,1900.0
Demi-Mondaine-17,1900.0
Nokaut II,1960.0
Almaz,1964.0
Tulilind,1956.0
New Zealand-2,1988.0
Notavel,2008.0
Galopin De La Font,2008.0
Margaret,1948.0
Portugal-1,1988.0
Comanche,1952.0
Cicely-1,1900.0
Ma'Lindo,1960.0
Harmony,1960.0
Independent Rowing Club-3,1904.0
Marie-Tim,1952.0
Uzbekistan-1,1994.0
Orion,2008.0
Merope,1960.0
Scaup,1948.0
Legionario,1948.0
Merope III,1960.0
Enotria,1948.0
Verveine-41,1900.0
Verveine-19,1900.0
Bohemia/Great Britain,1900.0
Ariette-8,1900.0
Ariette-10,1900.0
